id,class
869,p
870,p
871,p
872,e
873,e
874,p
875,e
876,e
877,e
878,p
879,e
880,e
881,p
882,p
883,p
884,e
885,e
886,e
887,e
888,p
889,p
890,e
891,e
892,e
893,e
894,e
895,e
896,e
897,p
898,e
899,p
900,p
901,p
902,p
903,e
904,p
905,e
906,e
907,e
908,e
909,e
910,e
911,p
912,e
913,e
914,p
915,p
916,e
917,p
918,p
919,e
920,e
921,e
922,e
923,e
924,p
925,p
926,e
927,e
928,p
929,p
930,p
931,e
932,p
933,p
934,e
935,e
936,e
937,p
938,e
939,e
940,p
941,e
942,e
943,p
944,e
945,e
946,e
947,p
948,p
949,e
950,p
951,e
952,p
953,p
954,p
955,p
956,e
957,p
958,p
959,p
960,e
961,p
962,e
963,e
964,p
965,e
966,p
967,e
968,p
969,p
970,p
971,p
972,p
973,e
974,e
975,e
976,e
977,e
978,e
979,p
980,e
981,e
982,e
983,e
984,e
985,p
986,p
987,p
988,e
989,e
990,p
991,e
992,p
993,p
994,e
995,p
996,p
997,p
998,p
999,p
