id,class
869,e
870,e
871,e
872,e
873,e
874,e
875,e
876,e
877,e
878,e
879,e
880,e
881,p
882,e
883,p
884,p
885,e
886,p
887,e
888,e
889,e
890,p
891,e
892,p
893,e
894,p
895,p
896,e
897,e
898,e
899,e
900,e
901,e
902,p
903,p
904,e
905,p
906,p
907,p
908,p
909,e
910,p
911,e
912,e
913,e
914,e
915,p
916,e
917,e
918,p
919,p
920,p
921,p
922,e
923,p
924,e
925,e
926,p
927,e
928,p
929,e
930,p
931,e
932,p
933,p
934,p
935,p
936,p
937,p
938,e
939,e
940,e
941,e
942,e
943,e
944,e
945,e
946,e
947,e
948,e
949,e
950,e
951,e
952,p
953,p
954,e
955,e
956,e
957,p
958,p
959,e
960,p
961,p
962,p
963,p
964,p
965,p
966,p
967,e
968,e
969,e
970,e
971,e
972,p
973,p
974,p
975,e
976,p
977,p
978,p
979,e
980,e
981,e
982,e
983,p
984,p
985,p
986,e
987,e
988,e
989,e
990,e
991,p
992,p
993,p
994,p
995,p
996,p
997,p
998,e
999,p
